Datetime,Water Level (m)
2024-10-25 18:00:00,0.27035397
2024-10-25 19:00:00,0.25929776
2024-10-25 20:00:00,0.23366985
2024-10-25 21:00:00,0.2052369
2024-10-25 22:00:00,0.17882529
2024-10-25 23:00:00,0.15958358
2024-10-26 00:00:00,0.16391297
2024-10-26 01:00:00,0.20344676
2024-10-26 02:00:00,0.25383675
2024-10-26 03:00:00,0.29848063
2024-10-26 04:00:00,0.34072644
2024-10-26 05:00:00,0.3712438
2024-10-26 06:00:00,0.37982312
2024-10-26 07:00:00,0.36174926
2024-10-26 08:00:00,0.3270618
2024-10-26 09:00:00,0.28707707
2024-10-26 10:00:00,0.24614023
2024-10-26 11:00:00,0.20555043
2024-10-26 12:00:00,0.17097665
2024-10-26 13:00:00,0.15434809
2024-10-26 14:00:00,0.17289056
2024-10-26 15:00:00,0.21387097
2024-10-26 16:00:00,0.2552374
2024-10-26 17:00:00,0.2916715
2024-10-26 18:00:00,0.31699905
2024-10-26 19:00:00,0.32088557
2024-10-26 20:00:00,0.29656312
2024-10-26 21:00:00,0.26029468
2024-10-26 22:00:00,0.22388437
2024-10-26 23:00:00,0.18656252
2024-10-27 00:00:00,0.15348493
2024-10-27 01:00:00,0.1384614
2024-10-27 02:00:00,0.16177604
2024-10-27 03:00:00,0.2114339
2024-10-27 04:00:00,0.26105917
2024-10-27 05:00:00,0.30843985
2024-10-27 06:00:00,0.34491464
2024-10-27 07:00:00,0.3567651
2024-10-27 08:00:00,0.33795783
2024-10-27 09:00:00,0.30007997
2024-10-27 10:00:00,0.2593131
2024-10-27 11:00:00,0.21619621
2024-10-27 12:00:00,0.17282368
2024-10-27 13:00:00,0.13703892
2024-10-27 14:00:00,0.12582971
2024-10-27 15:00:00,0.15828674
2024-10-27 16:00:00,0.21517849
2024-10-27 17:00:00,0.26719895
2024-10-27 18:00:00,0.31493402
2024-10-27 19:00:00,0.3464733
2024-10-27 20:00:00,0.34903824
2024-10-27 21:00:00,0.32112446
2024-10-27 22:00:00,0.28349006
2024-10-27 23:00:00,0.24491997
2024-10-28 00:00:00,0.20511892
2024-10-28 01:00:00,0.17007165
2024-10-28 02:00:00,0.15636268
2024-10-28 03:00:00,0.18631645
2024-10-28 04:00:00,0.24601701
2024-10-28 05:00:00,0.30229777
2024-10-28 06:00:00,0.35497263
2024-10-28 07:00:00,0.3925118
2024-10-28 08:00:00,0.39945176
2024-10-28 09:00:00,0.37298986
2024-10-28 10:00:00,0.33417276
2024-10-28 11:00:00,0.2936184
2024-10-28 12:00:00,0.2506853
2024-10-28 13:00:00,0.20857197
2024-10-28 14:00:00,0.17738156
2024-10-28 15:00:00,0.18193425
2024-10-28 16:00:00,0.23393501
2024-10-28 17:00:00,0.3024628
2024-10-28 18:00:00,0.37495282
2024-10-28 19:00:00,0.43733886
2024-10-28 20:00:00,0.45299485
2024-10-28 21:00:00,0.44750288
2024-10-28 22:00:00,0.4129848
2024-10-28 23:00:00,0.3747101
2024-10-29 00:00:00,0.33528548
2024-10-29 01:00:00,0.29453972
2024-10-29 02:00:00,0.25787622
2024-10-29 03:00:00,0.24687994
2024-10-29 04:00:00,0.28653115
2024-10-29 05:00:00,0.35785127
2024-10-29 06:00:00,0.43390876
2024-10-29 07:00:00,0.5006216
2024-10-29 08:00:00,0.515984
2024-10-29 09:00:00,0.50718224
2024-10-29 10:00:00,0.47105116
2024-10-29 11:00:00,0.43190953
2024-10-29 12:00:00,0.39038324
2024-10-29 13:00:00,0.34659386
2024-10-29 14:00:00,0.30469847
2024-10-29 15:00:00,0.28104037
2024-10-29 16:00:00,0.30561808
2024-10-29 17:00:00,0.37709177
2024-10-29 18:00:00,0.46638647
2024-10-29 19:00:00,0.5467278
2024-10-29 20:00:00,0.5934186
2024-10-29 21:00:00,0.59574956
2024-10-29 22:00:00,0.570536
2024-10-29 23:00:00,0.5307272
2024-10-30 00:00:00,0.4909947
2024-10-30 01:00:00,0.4480708
2024-10-30 02:00:00,0.4045776
2024-10-30 03:00:00,0.36924398
2024-10-30 04:00:00,0.37046146
2024-10-30 05:00:00,0.4249344
2024-10-30 06:00:00,0.5064538
2024-10-30 07:00:00,0.5924702
2024-10-30 08:00:00,0.63647294
2024-10-30 09:00:00,0.631575
2024-10-30 10:00:00,0.6023664
2024-10-30 11:00:00,0.5631968
2024-10-30 12:00:00,0.5221212
2024-10-30 13:00:00,0.4770722
2024-10-30 14:00:00,0.43133378
2024-10-30 15:00:00,0.39155823
2024-10-30 16:00:00,0.38262343
2024-10-30 17:00:00,0.4283323
2024-10-30 18:00:00,0.51817614
2024-10-30 19:00:00,0.6191022
2024-10-30 20:00:00,0.6828915
2024-10-30 21:00:00,0.70839876
2024-10-30 22:00:00,0.6901193
2024-10-30 23:00:00,0.6525882
2024-10-31 00:00:00,0.6125101
2024-10-31 01:00:00,0.5691029
2024-10-31 02:00:00,0.5225635
2024-10-31 03:00:00,0.47749484
2024-10-31 04:00:00,0.44872156
2024-10-31 05:00:00,0.46836865
2024-10-31 06:00:00,0.5365681
2024-10-31 07:00:00,0.6354695
2024-10-31 08:00:00,0.6959832
2024-10-31 09:00:00,0.71374553
2024-10-31 10:00:00,0.6891987
2024-10-31 11:00:00,0.6533124
2024-10-31 12:00:00,0.61299
2024-10-31 13:00:00,0.56886774
2024-10-31 14:00:00,0.5216521
2024-10-31 15:00:00,0.47588196
2024-10-31 16:00:00,0.44442672
2024-10-31 17:00:00,0.46067202
2024-10-31 18:00:00,0.5316393
